"","ID","CDLCode","CellCount","TotalCellCount","Percent","CDLYear","Buffer","CDLCategory","Class","StationL_1","StationNam","Elevation","Longitude","Latitude"
"40",13,190,2,12,17,"2007","100m","Woody Wetlands","Wetland","GFMT","GREENFIELDS","1164.336",-111.8125,47.65833
"41",14,21,6,9,67,"2007","100m","Barley","Crop","BFAM","BLACKFEET","1190.244",-112.58889,48.675
"42",14,176,2,9,22,"2007","100m","Grassland/Pasture","Grassland/Pasture","BFAM","BLACKFEET","1190.244",-112.58889,48.675
"43",14,195,1,9,11,"2007","100m","Herbaceous Wetlands","Wetland","BFAM","BLACKFEET","1190.244",-112.58889,48.675
"44",15,36,6,10,60,"2007","100m","Alfalfa","Crop","GLGM","GLASGOW","635.2032",-106.60917,48.14333
"45",15,121,2,10,20,"2007","100m","Developed/Open Space","Developed/Open Space","GLGM","GLASGOW","635.2032",-106.60917,48.14333
"46",15,176,1,10,10,"2007","100m","Grassland/Pasture","Grassland/Pasture","GLGM","GLASGOW","635.2032",-106.60917,48.14333
"47",15,190,1,10,10,"2007","100m","Woody Wetlands","Wetland","GLGM","GLASGOW","635.2032",-106.60917,48.14333
"48",16,36,2,10,20,"2007","100m","Alfalfa","Crop","HRLM","HARLEM","718.7184",-108.83472,48.54333
"49",16,152,3,10,30,"2007","100m","Shrubland","Shrubland","HRLM","HARLEM","718.7184",-108.83472,48.54333
"50",16,176,5,10,50,"2007","100m","Grassland/Pasture","Grassland/Pasture","HRLM","HARLEM","718.7184",-108.83472,48.54333
"51",17,176,9,9,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","MATM","MALTA","691.896",-107.77639,48.37361
"52",18,22,2,9,22,"2007","100m","Durum Wheat","Crop","KPWD","PLENTYWOOD","685.8",-104.52317,48.78863
"53",18,23,1,9,11,"2007","100m","Spring Wheat","Crop","KPWD","PLENTYWOOD","685.8",-104.52317,48.78863
"54",18,176,6,9,67,"2007","100m","Grassland/Pasture","Grassland/Pasture","KPWD","PLENTYWOOD","685.8",-104.52317,48.78863
"55",19,0,10,10,100,"2007","100m",NA,NA,"CWFJ","Cardston Automated Reporting Station","1135.9896",-113.28333,49.2
"56",20,0,9,9,100,"2007","100m",NA,NA,"CWJI","Assiniboia Airport Automated Reporting Station","723.9",-105.93333,49.73333
"57",21,0,10,10,100,"2007","100m",NA,NA,"CWOE","Onefour Automatic Weather Reporting System","935.1264",-110.46667,49.11667
"58",22,0,10,10,100,"2007","100m",NA,NA,"CWRY","Milk River","1050.036",-112.05,49.13333
"59",23,0,9,9,100,"2007","100m",NA,NA,"CWVP","Cypress Hills Park","1271.016",-109.51667,49.65
"60",24,NA,1,1,100,"2007","100m",NA,NA,"CWXL","Bow Island","837.8952",-111.45,49.63333
"61",25,NA,1,1,100,"2007","100m",NA,NA,"CZPC","Pincher Creek Airport","1189.9392",-113.98333,49.51667
"62",26,121,1,12,8,"2007","100m","Developed/Open Space","Developed/Open Space","MTBOW","Bowmans MT-200 MP 110.4","1310.9448",-112.15183,47.2922
"63",26,152,1,12,8,"2007","100m","Shrubland","Shrubland","MTBOW","Bowmans MT-200 MP 110.4","1310.9448",-112.15183,47.2922
"64",26,176,10,12,83,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTBOW","Bowmans MT-200 MP 110.4","1310.9448",-112.15183,47.2922
"65",27,122,5,12,42,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTBRN","Two Medicine Bridge US-2 MP 210.7","1448.1048",-113.19507,48.45265
"66",27,152,1,12,8,"2007","100m","Shrubland","Shrubland","MTBRN","Two Medicine Bridge US-2 MP 210.7","1448.1048",-113.19507,48.45265
"67",27,176,6,12,50,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTBRN","Two Medicine Bridge US-2 MP 210.7","1448.1048",-113.19507,48.45265
"68",28,121,4,9,44,"2007","100m","Developed/Open Space","Developed/Open Space","MTCOM","Comertown Turn-Off MT-5 MP 13.4","719.0232",-104.2529,48.81
"69",28,122,2,9,22,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTCOM","Comertown Turn-Off MT-5 MP 13.4","719.0232",-104.2529,48.81
"70",28,176,3,9,33,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTCOM","Comertown Turn-Off MT-5 MP 13.4","719.0232",-104.2529,48.81
"71",29,121,2,9,22,"2007","100m","Developed/Open Space","Developed/Open Space","MTCOW","Cow Creek MT-13 MP 19.9","715.6704",-105.49186,47.68837
"72",29,122,3,9,33,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTCOW","Cow Creek MT-13 MP 19.9","715.6704",-105.49186,47.68837
"73",29,176,4,9,44,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTCOW","Cow Creek MT-13 MP 19.9","715.6704",-105.49186,47.68837
"74",30,23,1,9,11,"2007","100m","Spring Wheat","Crop","MTDEN","East of Denton MT-81 MP 17","1111.9104",-109.85117,47.30023
"75",30,61,1,9,11,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","MTDEN","East of Denton MT-81 MP 17","1111.9104",-109.85117,47.30023
"76",30,121,5,9,56,"2007","100m","Developed/Open Space","Developed/Open Space","MTDEN","East of Denton MT-81 MP 17","1111.9104",-109.85117,47.30023
"77",30,122,1,9,11,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTDEN","East of Denton MT-81 MP 17","1111.9104",-109.85117,47.30023
"78",30,176,1,9,11,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTDEN","East of Denton MT-81 MP 17","1111.9104",-109.85117,47.30023
"79",31,121,2,10,20,"2007","100m","Developed/Open Space","Developed/Open Space","MTESX","Essex US-2 MP 179.9","1172.8704",-113.60657,48.28176
"80",31,122,3,10,30,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTESX","Essex US-2 MP 179.9","1172.8704",-113.60657,48.28176
"81",31,123,3,10,30,"2007","100m","Developed/Med Intensity","Developed/Med Intensity","MTESX","Essex US-2 MP 179.9","1172.8704",-113.60657,48.28176
"82",31,142,2,10,20,"2007","100m","Evergreen Forest","Forest","MTESX","Essex US-2 MP 179.9","1172.8704",-113.60657,48.28176
"83",32,121,1,10,10,"2007","100m","Developed/Open Space","Developed/Open Space","MTHAY","Hays Site MT-66 MP 10.5","1188.1104",-108.72611,47.91928
"84",32,176,9,10,90,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTHAY","Hays Site MT-66 MP 10.5","1188.1104",-108.72611,47.91928
"85",33,61,1,11,9,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","MTINV","Inverness US-2 MP 337.6","1006.1448",-110.64822,48.55321
"86",33,121,9,11,82,"2007","100m","Developed/Open Space","Developed/Open Space","MTINV","Inverness US-2 MP 337.6","1006.1448",-110.64822,48.55321
"87",33,176,1,11,9,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTINV","Inverness US-2 MP 337.6","1006.1448",-110.64822,48.55321
"88",34,121,3,9,33,"2007","100m","Developed/Open Space","Developed/Open Space","MTLND","Lindsay Divide MT-200 MP 296.5","922.02",-105.29387,47.28294
"89",34,122,3,9,33,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTLND","Lindsay Divide MT-200 MP 296.5","922.02",-105.29387,47.28294
"90",34,176,3,9,33,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTLND","Lindsay Divide MT-200 MP 296.5","922.02",-105.29387,47.28294
"91",35,24,1,10,10,"2007","100m","Winter Wheat","Crop","MTLOM","Loma US-87 MP 53.1","822.96",-110.50477,47.95103
"92",35,121,6,10,60,"2007","100m","Developed/Open Space","Developed/Open Space","MTLOM","Loma US-87 MP 53.1","822.96",-110.50477,47.95103
"93",35,122,1,10,10,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTLOM","Loma US-87 MP 53.1","822.96",-110.50477,47.95103
"94",35,176,2,10,20,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTLOM","Loma US-87 MP 53.1","822.96",-110.50477,47.95103
"95",36,121,1,11,9,"2007","100m","Developed/Open Space","Developed/Open Space","MTLUF","Lufborough Hill MT-200 MP 175.3","982.0656",-107.57201,47.07813
"96",36,122,2,11,18,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTLUF","Lufborough Hill MT-200 MP 175.3","982.0656",-107.57201,47.07813
"97",36,176,8,11,73,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTLUF","Lufborough Hill MT-200 MP 175.3","982.0656",-107.57201,47.07813
"98",37,23,2,9,22,"2007","100m","Spring Wheat","Crop","MTMAL","Malta South US-191 MP 122.5","946.404",-108.30555,47.96113
"99",37,121,2,9,22,"2007","100m","Developed/Open Space","Developed/Open Space","MTMAL","Malta South US-191 MP 122.5","946.404",-108.30555,47.96113
"100",37,176,5,9,56,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTMAL","Malta South US-191 MP 122.5","946.404",-108.30555,47.96113
"101",38,121,3,10,30,"2007","100m","Developed/Open Space","Developed/Open Space","MTMCD","McDonalds MT-13 MP 125.5","816.864",-105.44234,48.42732
"102",38,176,7,10,70,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTMCD","McDonalds MT-13 MP 125.5","816.864",-105.44234,48.42732
"103",39,122,3,11,27,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTMON","Monarch Canyon US-89 MP 53.5","1584.0456",-110.82309,47.1429
"104",39,176,8,11,73,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTMON","Monarch Canyon US-89 MP 53.5","1584.0456",-110.82309,47.1429
"105",40,121,6,9,67,"2007","100m","Developed/Open Space","Developed/Open Space","MTPND","Pendroy US-89 MP 62.6","1279.8552",-112.33418,48.07322
"106",40,122,1,9,11,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTPND","Pendroy US-89 MP 62.6","1279.8552",-112.33418,48.07322
"107",40,176,2,9,22,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTPND","Pendroy US-89 MP 62.6","1279.8552",-112.33418,48.07322
"108",41,22,1,12,8,"2007","100m","Durum Wheat","Crop","MTRED","Navajo MT-5 16.7","783.0312",-105.06078,48.81161
"109",41,121,8,12,67,"2007","100m","Developed/Open Space","Developed/Open Space","MTRED","Navajo MT-5 16.7","783.0312",-105.06078,48.81161
"110",41,176,1,12,8,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTRED","Navajo MT-5 16.7","783.0312",-105.06078,48.81161
"111",41,195,2,12,17,"2007","100m","Herbaceous Wetlands","Wetland","MTRED","Navajo MT-5 16.7","783.0312",-105.06078,48.81161
"112",42,22,1,11,9,"2007","100m","Durum Wheat","Crop","MTSOO","Sioux Pass MT-16 MP 21","755.904",-104.32619,47.91973
"113",42,61,1,11,9,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","MTSOO","Sioux Pass MT-16 MP 21","755.904",-104.32619,47.91973
"114",42,121,6,11,55,"2007","100m","Developed/Open Space","Developed/Open Space","MTSOO","Sioux Pass MT-16 MP 21","755.904",-104.32619,47.91973
"115",42,122,2,11,18,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTSOO","Sioux Pass MT-16 MP 21","755.904",-104.32619,47.91973
"116",42,176,1,11,9,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTSOO","Sioux Pass MT-16 MP 21","755.904",-104.32619,47.91973
"117",43,121,1,12,8,"2007","100m","Developed/Open Space","Developed/Open Space","MTSTA","US-2 @Stateline US2 MP 667.1","640.08",-104.04687,48.13764
"118",43,122,4,12,33,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTSTA","US-2 @Stateline US2 MP 667.1","640.08",-104.04687,48.13764
"119",43,123,1,12,8,"2007","100m","Developed/Med Intensity","Developed/Med Intensity","MTSTA","US-2 @Stateline US2 MP 667.1","640.08",-104.04687,48.13764
"120",43,176,6,12,50,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTSTA","US-2 @Stateline US2 MP 667.1","640.08",-104.04687,48.13764
"121",44,121,1,10,10,"2007","100m","Developed/Open Space","Developed/Open Space","MTSWN","Swan Lake South MT-83 MP 47","1082.04",-113.75574,47.59103
"122",44,122,1,10,10,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTSWN","Swan Lake South MT-83 MP 47","1082.04",-113.75574,47.59103
"123",44,142,2,10,20,"2007","100m","Evergreen Forest","Forest","MTSWN","Swan Lake South MT-83 MP 47","1082.04",-113.75574,47.59103
"124",44,152,1,10,10,"2007","100m","Shrubland","Shrubland","MTSWN","Swan Lake South MT-83 MP 47","1082.04",-113.75574,47.59103
"125",44,176,5,10,50,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTSWN","Swan Lake South MT-83 MP 47","1082.04",-113.75574,47.59103
"126",45,121,3,10,30,"2007","100m","Developed/Open Space","Developed/Open Space","MTSWT","Sweetgrass I-15 MP 395.3","1057.9608",-111.94071,48.96017
"127",45,176,7,10,70,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTSWT","Sweetgrass I-15 MP 395.3","1057.9608",-111.94071,48.96017
"128",46,111,2,12,17,"2007","100m","Open Water","Open Water","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"129",46,121,1,12,8,"2007","100m","Developed/Open Space","Developed/Open Space","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"130",46,122,3,12,25,"2007","100m","Developed/Low Intensity","Developed/Low Intensity","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"131",46,123,1,12,8,"2007","100m","Developed/Med Intensity","Developed/Med Intensity","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"132",46,124,1,12,8,"2007","100m","Developed/High Intensity","Developed/High Intensity","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"133",46,142,1,12,8,"2007","100m","Evergreen Forest","Forest","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"134",46,176,1,12,8,"2007","100m","Grassland/Pasture","Grassland/Pasture","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"135",46,190,2,12,17,"2007","100m","Woody Wetlands","Wetland","MTYEP","Gary Cooper Bridge I-15 MP 242","1044.5496",-111.85908,47.13948
"136",47,142,10,10,100,"2007","100m","Evergreen Forest","Forest","BADM8","BADGER PASS","2103.12",-113.02317,48.13088
"137",48,142,9,9,100,"2007","100m","Evergreen Forest","Forest","BISM8","BISSON CREEK","1499.616",-113.99901,47.68389
"138",49,142,9,9,100,"2007","100m","Evergreen Forest","Forest","COPM8","COPPER BOTTOM","1584.96",-112.595,47.05678
"139",50,142,10,10,100,"2007","100m","Evergreen Forest","Forest","CPCM8","COPPER CAMP","2118.36",-112.72955,47.08158
"140",51,142,9,9,100,"2007","100m","Evergreen Forest","Forest","DPYM8","DUPUYER CREEK","1752.6",-112.7573,48.06341
"141",52,142,10,10,100,"2007","100m","Evergreen Forest","Forest","EMCM8","EMERY CREEK","1325.88",-113.94,48.43
"142",53,142,10,12,83,"2007","100m","Evergreen Forest","Forest","FTMM8","FLATTOP MTN.","1920.24",-113.85713,48.80225
"143",53,152,2,12,17,"2007","100m","Shrubland","Shrubland","FTMM8","FLATTOP MTN.","1920.24",-113.85713,48.80225
"144",54,142,9,9,100,"2007","100m","Evergreen Forest","Forest","KRCM8","KRAFT CREEK","1447.8",-113.77515,47.42749
"145",55,21,1,9,11,"2007","100m","Barley","Crop","LDSM8","LINDSAY 1","816.864",-105.18702,47.21415
"146",55,24,2,9,22,"2007","100m","Winter Wheat","Crop","LDSM8","LINDSAY 1","816.864",-105.18702,47.21415
"147",55,131,1,9,11,"2007","100m","Barren","Barren","LDSM8","LINDSAY 1","816.864",-105.18702,47.21415
"148",55,176,5,9,56,"2007","100m","Grassland/Pasture","Grassland/Pasture","LDSM8","LINDSAY 1","816.864",-105.18702,47.21415
"149",56,142,9,9,100,"2007","100m","Evergreen Forest","Forest","MANM8","MANY GLACIER","1493.52",-113.6705,48.79698
"150",57,142,12,12,100,"2007","100m","Evergreen Forest","Forest","MSPM8","MOSS PEAK","2066.544",-113.9623,47.68493
"151",58,142,12,12,100,"2007","100m","Evergreen Forest","Forest","MTKM8","MOUNT LOCKHART","1950.72",-112.8238,47.91727
"152",59,142,10,10,100,"2007","100m","Evergreen Forest","Forest","NFJM8","NORTH FORK JOCKO","1929.384",-113.75617,47.2726
"153",60,142,10,10,100,"2007","100m","Evergreen Forest","Forest","NOIM8","NOISY BASIN","1840.992",-113.94637,48.15678
"154",61,142,9,9,100,"2007","100m","Evergreen Forest","Forest","PICM8","PIKE CREEK","1807.464",-113.32868,48.30305
"155",62,142,10,10,100,"2007","100m","Evergreen Forest","Forest","ROCM8","ROCKY BOY","1432.56",-109.64728,48.17478
"156",63,142,9,9,100,"2007","100m","Evergreen Forest","Forest","CHUM8","WALDRON","1706.88",-112.79087,47.91998
"157",64,142,12,12,100,"2007","100m","Evergreen Forest","Forest","WODM8","WOOD CREEK","1816.608",-112.81428,47.44847
"158",65,152,6,9,67,"2007","100m","Shrubland","Shrubland","ARMM8","ARMELLS CREEK","867.156",-108.868083,47.58875
"159",65,176,3,9,33,"2007","100m","Grassland/Pasture","Grassland/Pasture","ARMM8","ARMELLS CREEK","867.156",-108.868083,47.58875
"160",66,142,9,9,100,"2007","100m","Evergreen Forest","Forest","BEFM8","BENCHMARK","1630.68",-112.9,47.5
"161",67,176,10,10,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","BLUM8","BLUFF CREEK","777.24",-106.948139,48.868333
"162",68,152,3,10,30,"2007","100m","Shrubland","Shrubland","BRAM8","BRAVO","1229.868",-110.351667,47.285
"163",68,176,7,10,70,"2007","100m","Grassland/Pasture","Grassland/Pasture","BRAM8","BRAVO","1229.868",-110.351667,47.285
"164",69,142,3,9,33,"2007","100m","Evergreen Forest","Forest","CBUM8","CHAIN BUTTES","892.4544",-108.051028,47.527278
"165",69,152,3,9,33,"2007","100m","Shrubland","Shrubland","CBUM8","CHAIN BUTTES","892.4544",-108.051028,47.527278
"166",69,176,3,9,33,"2007","100m","Grassland/Pasture","Grassland/Pasture","CBUM8","CHAIN BUTTES","892.4544",-108.051028,47.527278
"167",70,152,4,10,40,"2007","100m","Shrubland","Shrubland","DBCM8","DRY BLOOD CREEK","961.0344",-108.358917,47.244139
"168",70,176,6,10,60,"2007","100m","Grassland/Pasture","Grassland/Pasture","DBCM8","DRY BLOOD CREEK","961.0344",-108.358917,47.244139
"169",71,176,9,9,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","FBLM8","FORT BELKNAP","812.292",-108.7189,48.304203
"170",72,142,1,10,10,"2007","100m","Evergreen Forest","Forest","TMPF1","GLEASON","1584.96",-112.67,47.87
"171",72,176,9,10,90,"2007","100m","Grassland/Pasture","Grassland/Pasture","TMPF1","GLEASON","1584.96",-112.67,47.87
"172",73,176,10,10,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","GLFM8","GOLF","1313.688",-112.091667,47.241667
"173",74,142,1,9,11,"2007","100m","Evergreen Forest","Forest","KIGM8","KING COULEE","841.248",-107.02175,47.796722
"174",74,152,1,9,11,"2007","100m","Shrubland","Shrubland","KIGM8","KING COULEE","841.248",-107.02175,47.796722
"175",74,176,7,9,78,"2007","100m","Grassland/Pasture","Grassland/Pasture","KIGM8","KING COULEE","841.248",-107.02175,47.796722
"176",75,142,2,10,20,"2007","100m","Evergreen Forest","Forest","LBCM8","LITTLE BULLWHACKER CREEK","944.88",-109.008389,47.831444
"177",75,152,6,10,60,"2007","100m","Shrubland","Shrubland","LBCM8","LITTLE BULLWHACKER CREEK","944.88",-109.008389,47.831444
"178",75,176,2,10,20,"2007","100m","Grassland/Pasture","Grassland/Pasture","LBCM8","LITTLE BULLWHACKER CREEK","944.88",-109.008389,47.831444
"179",76,176,12,12,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","MCDM8","MANNING CORRAL DOGTOWN","938.784",-108.478083,47.701639
"180",77,152,5,12,42,"2007","100m","Shrubland","Shrubland","TMPF3","OSCAR","1086.9168",-108.93,47.33
"181",77,176,7,12,58,"2007","100m","Grassland/Pasture","Grassland/Pasture","TMPF3","OSCAR","1086.9168",-108.93,47.33
"182",78,142,8,10,80,"2007","100m","Evergreen Forest","Forest","TMPF4","POINT 6","2414.016",-113.98,47.04
"183",78,152,2,10,20,"2007","100m","Shrubland","Shrubland","TMPF4","POINT 6","2414.016",-113.98,47.04
"184",79,176,10,10,100,"2007","100m","Grassland/Pasture","Grassland/Pasture","POPM8","POPLAR","664.7688",-105.07335,48.127083
"185",80,121,4,10,40,"2007","100m","Developed/Open Space","Developed/Open Space","RCBM8","ROCKY BOY","1154.8872",-109.785919,48.255294
"186",80,142,1,10,10,"2007","100m","Evergreen Forest","Forest","RCBM8","ROCKY BOY","1154.8872",-109.785919,48.255294
"187",80,152,3,10,30,"2007","100m","Shrubland","Shrubland","RCBM8","ROCKY BOY","1154.8872",-109.785919,48.255294
"188",80,176,2,10,20,"2007","100m","Grassland/Pasture","Grassland/Pasture","RCBM8","ROCKY BOY","1154.8872",-109.785919,48.255294
"189",81,61,8,10,80,"2007","100m","Fallow/Idle Cropland","Fallow Cropland","TMPF5","SIERRA","765.048",-111.79,48.04
"190",81,121,2,10,20,"2007","100m","Developed/Open Space","Developed/Open Space","TMPF5","SIERRA","765.048",-111.79,48.04
"191",82,142,2,9,22,"2007","100m","Evergreen Forest","Forest","SSMM8","SOUTH SAWMILL CREEK","1002.792",-107.5285,47.562139
"192",82,152,1,9,11,"2007","100m","Shrubland","Shrubland","SSMM8","SOUTH SAWMILL CREEK","1002.792",-107.5285,47.562139
"193",82,176,5,9,56,"2007","100m","Grassland/Pasture","Grassland/Pasture","SSMM8","SOUTH SAWMILL CREEK","1002.792",-107.5285,47.562139
